parent_code,parent_name,domain_code,domain_name,parent_question_count,domain_question_count,combined_question_count,interest,aptitude,personality,work_style,status
AGRI_ENV,Agriculture Food & Environment,AGRICULTURE,Agriculture,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,ANIMAL_SCIENCE,Animal Science,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,FISHERIES,Aquaculture & Fisheries,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,ENVIRONMENTAL_CONSERVATION,Environmental Conservation,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,FOOD_SCIENCE,Food Science,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,FORESTRY,Forestry,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,NATURAL_RESOURCES,Natural Resources,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,PLANT_SCIENCE,Plant Science,12,12,12,3,3,3,3,GOOD
AGRI_ENV,Agriculture Food & Environment,SUSTAINABILITY,Sustainability,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,ANIMATION,Animation,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,DANCE,Dance,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,fashion_design,Fashion Design,12,13,13,4,3,3,3,TOO_HIGH
ARTS_DESIGN,Arts Design & Creative Fields,GRAPHIC_DESIGN,Graphic Design,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,INTERIOR_DESIGN,Interior Design,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,MUSIC,Music,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,performing_arts,Performing Arts,12,13,13,4,3,3,3,TOO_HIGH
ARTS_DESIGN,Arts Design & Creative Fields,PRODUCT_DESIGN,Product Design,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,UX_UI_DESIGN,UX/UI Design,12,12,12,3,3,3,3,GOOD
ARTS_DESIGN,Arts Design & Creative Fields,VISUAL_ARTS,Visual Arts,12,12,12,3,3,3,3,GOOD
BUSINESS_MGMT,Business & Management,BUSINESS_ADMIN,Business Administration,12,12,12,3,3,3,3,GOOD
BUSINESS_MGMT,Business & Management,BUSINESS_ANALYSIS,Business Analysis,12,12,12,3,3,3,3,GOOD
