zone_id,pincode_number
4,504203
4,530048
4,504001
4,504309
4,504312
4,504308
4,504273
4,504293
4,504295
4,504296
4,504272
4,504294
4,504292
4,504307
4,504304
4,504323
4,504201
4,504204
4,504216
4,504214
4,504303
4,504202
4,504251
4,504231
4,504205
4,504215
4,504302
4,504206
4,504218
4,504207
4,504209
4,504219
4,504208
4,504301
4,504220
4,504101
4,504103
4,504102
4,504109
4,504110
4,504106
4,504306
4,504310
4,504104
4,504105
4,504299
4,504313
4,504311
4,504346
4,515767
4,515721
4,515001
4,515311
4,515321
4,515556
4,515561
4,515281
4,515305
4,515286
4,515445
4,515002
4,515005
4,515004
4,515003
4,515751
4,515701
4,515672
4,515661
4,515631
4,515741
4,515761
4,515763
4,515870
4,515871
4,515812
4,515863
4,515154
4,515144
4,515159
4,515425
4,515731
4,515651
4,515101
4,515341
4,515601
4,515331
4,515671
4,515521
4,515774
4,515611
4,515402
4,515401
4,515405
4,515241
4,515231
4,515271
4,515291
4,515865
4,515867
4,515775
4,515803
4,515801
4,515842
4,515872
4,515211
4,515212
4,515201
4,515541
4,515591
4,515501
4,515787
4,515765
4,515621
4,515641
4,515110
4,515133
4,515711
4,515766
4,515301
4,515303
4,515465
4,515511
4,515581
4,515571
4,515551
4,515531
4,515832
4,515261
4,515408
4,515411
4,515455
4,515124
4,515164
4,515134
4,515122
4,515123
4,515414
4,515435
4,515415
4,515822
4,517325
4,517536
4,517129
4,517416
4,517194
4,517102
4,517101
4,517193
4,517422
4,517403
4,517421
4,517167
4,517132
4,517419
4,517002
4,517004
4,517126
4,517001
4,517003
4,517125
4,517130
4,517128
4,517131
4,517127
4,517124
4,517599
4,517152
4,517213
4,517291
4,517305
4,517297
4,517643
4,517236
4,517237
4,517234
4,517235
4,517582
4,517280
4,517390
4,517432
4,517247
4,517330
4,517370
4,517351
4,517418
4,517123
4,517257
4,517417
4,517319
4,517352
4,517414
4,517391
4,517350
4,517425
4,517592
4,517590
4,517591
4,517113
4,517112
4,517172
4,517423
4,517415
4,517401
4,517424
4,517408
4,517429
4,517586
4,517214
4,517589
4,517587
4,517571
4,517581
4,517583
4,517584
4,517561
4,517520
4,517506
4,517192
4,517588
4,517640
4,517642
4,517644
4,517641
4,517501
4,517507
4,517504
4,517503
4,517505
4,517502
4,517551
4,517277
4,517299
4,517541
4,517569
4,517619
4,517526
4,517620
4,517621
4,516175
4,516433
4,516431
4,516310
4,516360
4,516349
4,516396
4,516501
4,516228
4,516503
4,516227
4,516484
4,516128
4,516259
4,516502
4,516162
4,516163
4,516214
4,516104
4,516004
4,516003
4,516001
4,516002
4,516218
4,516216
4,516293
4,516267
4,516233
4,516411
4,516432
4,516434
4,516217
4,516355
4,516289
4,516311
4,516339
4,516321
4,516309
4,516312
4,516203
4,516105
4,516101
4,516444
4,516257
4,516464
4,516247
4,516380
4,516439
4,516474
4,516172
4,516173
4,516152
4,516150
4,516151
4,516108
4,516126
4,516110
4,516127
4,516193
4,516362
4,516359
4,516454
4,516421
4,516390
4,516350
4,516401
4,516329
4,516107
4,516115
4,516504
4,516269
4,516270
4,516129
4,516215
4,516237
4,516130
4,516505
4,516268
4,516213
4,533483
4,533284
4,533296
4,533102
4,533450
4,533107
4,533428
4,533447
4,533211
4,533577
4,533228
4,533241
4,533233
4,533126
4,533232
4,533234
4,533217
4,533215
4,533218
4,533210
4,533201
4,533221
4,533213
4,533222
4,533214
4,533239
4,533342
4,533264
4,533346
4,533261
4,533236
4,533235
4,533237
4,533255
4,533343
4,533262
4,533345
4,533240
4,533339
4,533286
4,533288
4,531110
4,533294
4,533285
4,533289
4,533449
4,533445
4,533220
4,533435
4,533125
4,533263
4,533468
4,533005
4,533006
4,533003
4,533461
4,533002
4,533004
4,533008
4,533001
4,533016
4,533440
4,533307
4,533309
4,533308
4,533305
4,533462
4,533260
4,533212
4,533431
4,533290
4,533292
4,533407
4,533448
4,533274
4,533229
4,533223
4,533244
4,533253
4,533254
4,533250
4,533247
4,533248
4,533249
4,533340
4,533341
4,533295
4,533216
4,533306
4,533344
4,533437
4,533433
4,533464
4,533432
4,533430
4,533101
4,533106
4,533104
4,533103
4,533105
4,533124
4,533293
4,533436
4,533291
4,533238
4,533242
4,533252
4,533251
4,533434
4,533406
4,533446
4,533287
4,533463
4,533408
4,533401
4,533429
4,522201
4,522649
4,522004
4,522020
4,522325
4,522313
4,522301
4,522211
4,522310
4,522409
4,522101
4,522311
4,522212
4,522329
4,522411
4,522257
4,522256
4,522213
4,522309
4,522259
4,522113
4,522616
4,522611
4,522626
4,522264
4,522414
4,522258
4,522330
4,522308
4,522612
4,522233
4,522015
4,522007
4,522017
4,522005
4,522503
4,522002
4,522001
4,522003
4,522006
4,522034
4,522502
4,522112
4,522016
4,522510
4,522508
4,522303
4,522509
4,522235
4,522302
4,522009
4,522501
4,522018
4,522019
4,522236
4,522237
4,522415
4,522341
4,522658
4,522663
4,522661
4,522614
4,522111
4,522307
4,522304
4,522324
4,522410
4,522262
4,522315
4,522435
4,522426
4,522439
4,522438
4,522401
4,522408
4,522549
4,522234
4,522619
4,522268
4,522306
4,522603
4,522601
4,522615
4,522314
4,522659
4,522660
4,522316
4,522436
4,522402
4,522305
4,522529
4,522437
4,522413
4,522124
4,522125
4,522412
4,522421
4,522265
4,522617
4,522403
4,522646
4,522317
4,522202
4,522318
4,522312
4,522613
4,522261
4,522647
4,522657
4,500085
4,500060
4,500018
4,500038
4,500006
4,500028
4,500067
4,500057
4,500008
4,500031
4,500029
4,500063
4,500004
4,500007
4,500015
4,501201
4,501301
4,500040
4,500020
4,500003
4,500080
4,500062
4,500025
4,500016
4,500002
4,500017
4,500026
4,500071
4,500061
4,501101
4,500030
4,500012
4,500044
4,500013
4,500048
4,500058
4,500064
4,500005
4,500027
4,500039
4,500024
4,500053
4,500065
4,500068
4,500052
4,500066
4,500051
4,500035
4,500001
4,500076
4,500079
4,500077
4,500074
4,500036
4,500023
4,500059
4,500070
4,500069
4,500045
4,500034
4,500022
4,500082
4,500041
4,500073
4,500095
4,500081
4,500033
4,501121
4,501202
4,501401
4,501143
4,500075
4,501106
4,501510
4,501506
4,500043
4,501509
4,500087
4,501512
4,501508
4,501505
4,501218
4,501359
4,501323
4,501511
4,501142
4,500014
4,501144
4,501502
4,501141
4,501503
4,500010
4,501504
4,500047
4,500037
4,501203
4,501501
4,500011
4,501158
4,501111
4,500050
4,500021
4,500042
4,500054
4,500055
4,500072
4,500009
4,500049
4,500083
4,500056
4,500078
4,500094
4,500093
4,500032
4,500084
4,500019
4,500046
4,505526
4,505405
4,505454
4,505455
4,505529
4,505481
4,505530
4,505525
4,505210
4,505514
4,505208
4,505184
4,505212
4,505472
4,505102
4,505474
4,505504
4,505480
4,505470
4,505503
4,505172
4,505101
4,505129
4,505475
4,505174
4,505416
4,505186
4,505468
4,505187
4,505505
4,505122
4,505476
4,505502
4,505471
4,505490
4,505188
4,505497
4,505153
4,505185
4,505152
4,505209
4,505498
4,505162
4,505528
4,505473
4,505524
4,505401
4,505302
4,505402
4,505403
4,505307
4,505467
4,505415
4,505531
4,505425
4,505211
4,505304
4,505305
4,505445
4,505532
4,505466
4,505450
4,505325
4,505327
4,505001
4,505451
4,505306
4,505462
4,505303
4,505501
4,505301
4,505330
4,505453
4,505460
4,505326
4,505331
4,505452
4,505469
4,505404
4,505215
4,505214
4,505527
4,507301
4,507202
4,507211
4,507111
4,507128
4,507204
4,507114
4,507169
4,507133
4,507208
4,507129
4,507126
4,507306
4,507137
4,507168
