zone_id,pincode_number
2,781328
2,781302
2,781301
2,781315
2,781309
2,781352
2,781305
2,781316
2,781327
2,781319
2,781330
2,781308
2,781321
2,781329
2,781326
2,781325
2,781314
2,781307
2,781313
2,781317
2,783384
2,783388
2,783386
2,783382
2,783383
2,783389
2,783394
2,783380
2,783385
2,783381
2,783393
2,783134
2,783392
2,783391
2,783390
2,783373
2,788101
2,788030
2,788004
2,788119
2,788009
2,788025
2,788011
2,788115
2,788113
2,788026
2,788110
2,788107
2,788815
2,788121
2,788102
2,788015
2,788817
2,788123
2,788120
2,788010
2,788122
2,788114
2,788126
2,788116
2,788002
2,788007
2,788003
2,788005
2,788112
2,788111
2,788001
2,788013
2,788106
2,788031
2,788804
2,788151
2,788805
2,788127
2,788816
2,788104
2,788098
2,788006
2,788108
2,788109
2,788103
2,788014
2,788118
2,788008
2,784527
2,784513
2,784190
2,784116
2,784147
2,784146
2,784526
2,784148
2,784510
2,784524
2,784525
2,784115
2,784522
2,784113
2,784514
2,784125
2,784507
2,784114
2,784523
2,784144
2,784528
2,784508
2,784145
2,784521
2,784509
2,787026
2,787057
2,787035
2,787034
2,787060
2,787058
2,787059
2,787061
2,786110
2,783325
2,783335
2,783338
2,783349
2,783337
2,783351
2,783371
2,783339
2,783323
2,783324
2,783301
2,783135
2,783128
2,783334
2,783131
2,783348
2,783331
2,783330
2,783127
2,786613
2,786007
2,786624
2,786184
2,786183
2,786102
2,786002
2,786003
2,786610
2,786004
2,786001
2,786005
2,786008
2,786101
2,786692
2,786602
2,786614
2,785676
2,785675
2,786010
2,786012
2,786191
2,786621
2,786622
2,786623
2,786611
2,786601
2,786103
2,786612
2,783120
2,783124
2,783122
2,783121
2,783101
2,782411
2,782127
2,782104
2,782103
2,782105
2,782410
2,782126
2,782108
2,782412
2,782120
2,782135
2,782001
2,782123
2,782440
2,782445
2,782435
2,782442
2,782439
2,782481
2,782429
2,782446
2,782447
2,782137
2,782426
2,782427
2,782002
2,782124
2,782136
2,782122
2,782003
2,782138
2,782425
2,782140
2,782144
2,782102
2,782141
2,782428
2,782142
2,782125
2,782143
2,782101
2,782460
2,782139
2,782107
2,781126
2,781372
2,781373
2,781369
2,781344
2,781360
2,781339
2,781340
2,781378
2,781341
2,781334
2,781310
2,781303
2,781346
2,781355
2,781351
2,781333
2,781138
2,781304
2,781348
2,781306
2,781370
2,781337
2,781347
2,781368
2,781335
2,781353
2,781349
2,781312
2,781350
2,781338
2,781367
2,781377
2,781371
2,781374
2,788931
2,788820
2,788818
2,788819
2,788830
2,788832
2,788831
2,788834
2,785697
2,785681
2,785680
2,785640
2,785691
2,785693
2,785661
2,785662
2,785663
2,785664
2,785696
2,785701
2,785683
2,785665
2,785666
2,785667
2,785688
2,785698
2,785670
2,785684
2,785685
2,785674
2,785671
2,785687
2,785692
2,785673
2,785686
2,785690
2,785689
2,785682
2,785694
2,785695
2,785672
2,784176
2,784112
2,784181
2,784101
2,784151
2,784172
2,784179
2,784001
2,784150
2,784153
2,784502
2,784177
2,784167
2,784504
2,784118
2,784103
2,784111
2,784501
2,784110
2,784105
2,784184
2,784168
2,784170
2,784169
2,784180
2,784178
2,784027
2,784189
2,784154
2,784026
2,784152
2,784102
2,784173
2,784506
2,784183
2,784182
2,784028
2,784174
2,784025
2,784185
2,784505
2,784104
2,784117
2,784175
2,784171
2,784149
2,786189
2,786157
2,786158
2,786155
2,786154
2,786160
2,786152
2,786156
2,786151
2,786150
2,786159
2,786190
2,786170
2,786153
2,786182
2,786171
2,786174
2,786187
2,786181
2,786188
2,786179
2,786173
2,786126
2,786146
2,786192
2,786125
2,786145
2,786147
2,786148
