zone_id,pincode_number
1,854334
1,854336
1,854312
1,854332
1,854318
1,854311
1,854329
1,854333
1,854335
1,854316
1,854331
1,854328
1,824111
1,824101
1,824102
1,824121
1,824112
1,824130
1,824113
1,824202
1,824216
1,824203
1,824114
1,824129
1,824115
1,824120
1,824127
1,824207
1,824123
1,824103
1,824208
1,824218
1,824302
1,824301
1,824303
1,824124
1,824122
1,824116
1,824125
1,824118
1,813101
1,813117
1,813103
1,813102
1,813202
1,813126
1,813104
1,813129
1,814131
1,813128
1,813118
1,813106
1,813207
1,813116
1,813127
1,813110
1,813125
1,813109
1,813107
1,813211
1,813124
1,813123
1,811308
1,813224
1,851128
1,851111
1,848204
1,851131
1,848202
1,851118
1,851112
1,851133
1,851132
1,851113
1,851116
1,851129
1,848201
1,851217
1,851211
1,851114
1,851115
1,851101
1,851130
1,851134
1,851127
1,851103
1,851117
1,851126
1,851218
1,851210
1,851119
1,851225
1,851219
1,851122
1,851215
1,811106
1,853204
1,813214
1,812004
1,853202
1,813209
1,853203
1,812001
1,813108
1,853201
1,812005
1,853205
1,853207
1,813105
1,813112
1,812003
1,812002
1,813113
1,812007
1,813204
1,813205
1,813203
1,813222
1,813231
1,812006
1,813206
1,813210
1,813233
1,813212
1,813225
1,813213
1,813223
1,811211
1,813227
1,802201
1,802156
1,802161
1,802301
1,802210
1,802203
1,802163
1,802164
1,802166
1,802311
1,802351
1,802312
1,802206
1,802314
1,802157
1,802313
1,802160
1,802162
1,802315
1,802316
1,802103
1,802155
1,802154
1,802158
1,802183
1,802165
1,802152
1,802202
1,802222
1,802207
1,802237
1,802208
1,802209
1,802205
1,802223
1,802159
1,802204
1,802116
1,802114
1,802135
1,802123
1,802128
1,802113
1,802117
1,802101
1,802102
1,802122
1,802118
1,802131
1,802119
1,802126
1,802129
1,802134
1,802130
1,802133
1,802120
1,802112
1,802125
1,802115
1,802111
1,802136
1,802127
1,847203
1,852216
1,847122
1,847301
1,847106
1,847201
1,847405
1,847233
1,847103
1,847422
1,847423
1,847407
1,847239
1,847427
1,847121
1,847404
1,847115
1,847101
1,847105
1,847104
1,846007
1,846005
1,846002
1,847337
1,847428
1,847303
1,847306
1,847307
1,846004
1,846003
1,846009
1,847302
1,846001
1,846008
1,847107
1,847424
1,846006
1,848209
1,848213
1,848506
1,848205
1,848207
1,845424
1,845302
1,845417
1,845411
1,845434
1,845423
1,845425
1,845419
1,845458
1,845440
1,845305
1,845413
1,845412
1,845426
1,845406
1,845303
1,845315
1,845418
1,845457
1,845304
1,845427
1,845432
1,845401
1,845429
1,845435
1,845437
1,855456
1,845436
1,845422
1,845416
1,845420
1,845430
1,845414
1,845428
1,845301
1,845433
1,845431
1,845415
1,805131
1,805128
1,805129
1,805109
1,823311
1,824233
1,824217
1,824201
1,804403
1,824236
1,804424
1,824235
1,823004
1,824231
1,824237
1,824234
1,824232
1,823001
1,823002
1,823005
1,824205
1,824206
1,805236
1,804407
1,824209
1,823003
1,824210
1,824211
1,805135
1,841441
1,841440
1,841437
1,841405
1,841436
1,841426
1,841423
1,841428
1,841438
1,841508
1,841409
1,841503
1,841413
1,841427
1,841407
1,841420
1,841505
1,811307
1,811314
1,805124
1,805101
1,811301
1,811313
1,811305
1,811303
1,811316
1,811311
1,811317
1,811312
1,848505
1,848114
1,848301
1,848117
1,848132
1,848211
1,848504
1,848236
1,848206
1,848113
1,848125
1,848130
1,848101
1,848133
1,848210
1,848502
1,848501
1,848121
1,848127
1,848503
1,848160
1,848131
1,848129
1,848122
1,848115
1,841207
1,841414
1,841418
1,841421
1,841208
1,841401
1,841219
1,841213
1,841402
1,841221
1,841424
1,841417
1,841224
1,841442
1,841204
1,841412
1,841215
1,841223
1,841101
1,841205
1,841403
1,841301
1,841206
1,841212
1,841419
1,841201
1,841202
1,841410
1,841311
1,841460
1,841214
1,841411
1,841415
1,841225
1,841209
1,841211
1,841216
1,841217
1,841313
1,841316
1,841222
1,841312
1,841443
1,841422
1,841220
1,841305
1,841218
1,841302
1,841433
1,841105
1,811101
1,811105
1,811304
1,811201
1,811315
1,811107
1,811102
1,811103
1,843329
1,843331
1,843313
1,843314
1,843302
1,843316
1,843318
1,843319
1,843301
1,843360
1,843332
1,843315
1,843333
1,843326
1,843324
1,843325
1,843334
1,843320
1,843323
1,843311
1,843328
1,843327
1,843351
1,843317
1,843322
1,843330
1,841504
1,841439
1,841239
1,841286
1,841234
1,841226
1,841231
1,841203
1,841236
1,841287
1,841245
1,841506
1,841241
1,841404
1,841406
1,841244
1,841237
1,841238
1,841435
1,841227
1,841408
1,841232
1,841235
1,841210
1,841507
1,841434
1,841240
1,841416
1,841242
1,841233
1,841509
1,841502
1,852105
1,852123
1,852130
1,854340
1,852131
1,852139
1,852215
1,854338
1,852125
1,854339
1,852214
1,852137
1,852108
1,852138
1,847452
1,847408
1,852218
1,852109
1,852111
1,852110
1,847451
1,844125
1,844505
1,844111
1,844114
1,844131
1,844118
1,844123
1,844502
1,844503
1,844101
1,844115
1,844504
1,844116
1,844119
1,844134
1,844124
1,844126
1,844507
1,844121
1,844506
1,844501
1,844139
1,843114
1,843110
1,844141
1,844508
1,844509
1,844113
1,844128
1,845101
1,845459
1,845438
1,845455
1,845450
1,845103
1,845452
1,845307
1,845106
1,845454
1,845449
1,845105
1,845404
1,845451
1,845453
1,845306
1,845107
