zone_id,pincode_number
5,403508
5,403521
5,403509
5,403524
5,403516
5,403507
5,403503
5,403101
5,403523
5,403510
5,403515
5,403513
5,403517
5,403512
5,403114
5,403501
5,403511
5,403526
5,403502
5,403529
5,403504
5,403505
5,403706
5,403703
5,403705
5,403723
5,403601
5,403714
5,403701
5,403716
5,403713
5,403603
5,403718
5,403712
5,403717
5,403731
5,403715
5,403708
5,403710
5,403709
5,403707
5,403725
5,403602
5,403722
5,403729
5,403604
5,403724
5,403720
5,403719
5,403721
5,403704
5,403410
5,403107
5,403115
