zone_id,pincode_number
3,175128
3,175103
3,172002
3,172033
3,172023
3,172201
3,172001
3,175132
3,175140
3,175139
3,175133
3,172114
3,172113
3,172111
3,172117
3,175142
3,175028
3,175029
3,175045
3,175039
3,176121
3,176126
3,175001
3,176120
3,175032
3,176122
3,176123
3,171302
3,171304
3,171303
3,175046
3,175121
3,175027
3,175052
3,175008
3,175124
3,175021
3,175036
3,175005
3,175006
3,175003
3,175023
3,175034
3,175033
3,175024
3,175040
3,175042
3,175049
3,175004
3,175050
3,176090
3,175037
3,175025
3,175026
3,175007
3,175051
3,175038
3,175030
3,174403
3,175002
3,175031
3,174401
3,175137
3,174402
3,175035
3,175106
3,175047
3,175048
3,171208
3,171214
3,171211
3,171217
3,171210
3,171221
3,171206
3,171216
3,171205
3,171215
3,171203
3,171225
3,171220
3,171204
3,171202
3,172027
3,172031
3,171213
3,172024
3,172030
3,172029
3,171212
3,172021
3,172028
3,172022
3,172034
3,172102
3,172101
3,171223
3,171207
3,171224
3,171003
3,171004
3,173219
3,171011
3,171007
3,171009
3,171001
3,171005
3,171103
3,171012
3,171002
3,173216
3,171008
3,171006
3,171010
3,171018
3,171301
3,171019
3,171226
3,171201
3,171209
3,171222
3,173029
3,173022
3,173001
3,173030
3,173026
3,173101
3,173024
3,173025
3,173020
3,173027
3,173021
3,173028
3,173023
3,173206
3,173233
3,174102
3,174101
3,173205
3,171102
3,173229
3,173212
3,173201
3,173225
3,173204
3,173208
3,173220
3,173230
3,173223
3,173202
3,173221
3,173207
3,173218
3,173217
3,173215
3,173222
3,174103
3,173209
3,173213
3,173210
3,173211
3,173214
3,177203
3,177204
3,177205
3,177201
3,174302
3,177213
3,177109
3,174316
3,177210
3,177110
3,177211
3,177212
3,174319
3,177208
3,177219
3,177206
3,177202
3,177039
3,174314
3,174307
3,174321
3,174308
3,177031
3,177041
3,177032
3,174320
3,177209
3,177220
3,174301
3,176601
3,174317
3,177207
3,174503
3,174306
3,174303
3,174315
