zone_id,pincode_number
4,587155
4,587201
4,587206
4,587114
4,587202
4,587203
4,587205
4,587111
4,587101
4,587102
4,587103
4,587115
4,587207
4,587204
4,587120
4,587116
4,587121
4,587117
4,587301
4,587124
4,587118
4,587125
4,587112
4,587154
4,586126
4,586125
4,587119
4,587311
4,586113
4,587312
4,587315
4,587314
4,587313
4,587113
4,587122
4,587316
4,560004
4,560034
4,560007
4,560092
4,560024
4,560047
4,560043
4,560017
4,560001
4,560025
4,560049
4,560064
4,560045
4,560036
4,560037
4,560048
4,560008
4,560038
4,560094
4,560005
4,560066
4,560084
4,560016
4,560033
4,560032
4,560006
4,562106
4,562107
4,562125
4,560093
4,560071
4,560063
4,560003
4,560086
4,560073
4,560002
4,560009
4,560079
4,560046
4,562157
4,560010
4,560040
4,560097
4,560057
4,560065
4,560021
4,560022
4,560013
4,560051
4,560104
4,560014
4,560015
4,560020
4,560096
4,560077
4,560054
4,560023
4,560055
4,560072
4,560058
4,560080
4,560012
4,560042
4,560052
4,560091
4,560030
4,560050
4,560026
4,560053
4,560085
4,560076
4,560083
4,560103
4,560056
4,560068
4,560018
4,560061
4,560067
4,560029
4,560062
4,560100
4,560019
4,560087
4,560102
4,560078
4,560041
4,560070
4,560011
4,560098
4,560095
4,560074
4,560099
4,560039
4,560075
4,560059
4,560027
4,560028
4,562130
4,560069
4,562149
4,560081
4,560089
4,560090
4,560088
4,560082
4,560035
4,560060
4,562110
4,562135
4,561205
4,561204
4,561203
4,562122
4,562129
4,562114
4,562119
4,561101
4,561201
4,562131
4,562127
4,562123
4,562111
4,562132
4,591106
4,591123
4,590016
4,591102
4,591103
4,590018
4,590014
4,590005
4,591304
4,591248
4,591303
4,591212
4,591223
4,591230
4,591232
4,591234
4,591240
4,591315
4,591242
4,591265
4,591316
4,591115
4,591112
4,591104
4,591125
4,591109
4,591153
4,591147
4,591121
4,591118
4,591143
4,590003
4,590010
4,591108
4,590006
4,591131
4,591124
4,591128
4,590001
4,590009
4,591156
4,590011
4,591113
4,591215
4,591211
4,591213
4,591241
4,591226
4,591214
4,591222
4,591263
4,591216
4,591237
4,591201
4,591247
4,591287
4,591238
4,591219
4,591244
4,591228
4,591229
4,591239
4,591101
4,591306
4,591227
4,591307
4,591344
4,591233
4,591312
4,591218
4,591308
4,591224
4,591231
4,591136
4,591122
4,591225
4,591236
4,591313
4,591309
4,591221
4,591305
4,591243
4,591254
4,591107
4,591340
4,591314
4,591246
4,591302
4,591301
4,591120
4,591317
4,591220
4,591217
4,591311
4,591235
4,591127
4,591130
4,591114
4,591126
4,591110
4,591129
4,591117
4,591111
4,591119
4,591116
4,583104
4,583115
4,583103
4,583116
4,583102
4,583117
4,583101
4,583152
4,583138
4,583113
4,583111
4,583212
4,583222
4,583224
4,583220
4,583214
4,583211
4,583201
4,583132
4,583223
4,583129
4,583215
4,583239
4,583203
4,583276
4,583221
4,583225
4,583216
4,583217
4,583219
4,583135
4,583218
4,583134
4,583130
4,583126
4,583136
4,583128
4,583124
4,583119
4,583118
4,583112
4,583123
4,583275
4,583114
4,583121
4,583122
4,583120
4,585326
4,585417
4,585436
4,585443
4,585421
4,585419
4,585327
4,585437
4,585416
4,585331
4,585413
4,585328
4,585411
4,585415
4,585414
4,585402
4,585403
4,585226
4,585401
4,585412
4,585227
4,585418
4,585330
4,585353
4,585329
4,586208
4,586203
4,586213
4,586210
4,586201
4,586214
4,586114
4,586207
4,586117
4,586115
4,586121
4,586216
4,586122
4,586130
4,586108
4,586127
4,586104
4,586119
4,586103
4,586101
4,586102
4,586112
4,586116
4,586111
4,586211
4,586204
4,586217
4,586215
4,586205
4,586124
4,586209
4,586120
4,586245
4,586129
4,586212
4,586123
4,586118
4,586202
4,586128
4,586206
4,571117
4,571127
4,571313
4,571316
4,571115
4,571342
4,571320
4,571439
4,571128
4,571443
4,571440
4,571490
4,571111
4,571123
4,571126
4,571109
4,571319
4,571457
4,571444
4,571491
4,571442
4,571441
4,577111
4,577101
4,577131
4,577146
4,577136
4,577130
4,577102
4,577133
4,577168
4,577160
4,577548
4,573132
4,577138
4,577547
4,577550
4,577116
4,577135
4,577140
4,577180
4,577175
4,577126
4,577139
4,577123
4,577114
4,577120
4,577117
4,577112
4,577118
4,577125
4,577127
4,577132
4,577179
4,577122
4,577113
4,577124
4,577121
4,577181
4,577142
4,577134
4,577228
4,577144
4,577145
4,577549
4,577129
4,577128
4,577137
4,577518
4,577557
4,577522
4,577523
4,577511
4,577536
4,577543
4,577538
4,577537
4,577529
4,577541
4,577555
4,577517
4,577519
4,577520
4,577521
4,577502
4,577501
4,577524
4,573114
4,577546
4,577558
4,572143
4,577545
4,577596
4,572144
4,577532
4,577533
4,577542
4,577515
4,577539
4,577526
4,577531
4,577527
4,577223
4,577554
4,584123
4,584143
4,584120
4,584203
4,584129
4,584118
4,584202
4,584138
4,584140
4,584113
4,584102
4,584136
4,584128
4,584134
4,584170
4,584103
4,584135
4,584133
4,584101
4,584167
4,584124
4,584132
4,562108
4,562138
4,571501
4,571502
4,562126
4,562117
4,562112
4,562121
4,562120
4,562109
4,571511
4,562128
4,577202
4,577302
4,577245
4,577227
4,577243
4,577233
4,577301
4,577115
4,577229
4,577451
4,577231
4,577426
4,577418
4,577436
4,577412
4,577452
4,577448
4,577425
4,577417
4,577401
4,577421
4,577431
4,577430
4,577435
4,577444
4,577434
4,577201
4,577214
4,577427
4,577428
4,577447
4,577433
4,577450
4,577225
4,577211
4,577423
4,577222
4,577216
4,577416
4,577203
4,577204
4,577413
4,577429
4,577419
4,577414
4,577432
4,577226
4,577232
4,577422
4,577415
4,577220
4,577424
4,577411
4,572214
4,572228
4,572226
4,572218
4,572119
4,572216
4,572220
4,572222
4,572211
4,572212
4,572213
4,572117
4,572225
4,572223
4,572215
4,572219
4,572129
4,572121
4,572111
4,572130
4,572123
4,572126
4,572120
4,572142
4,572134
4,572175
4,572112
4,572133
4,572132
4,572124
4,572163
4,572127
4,572141
4,572116
4,572136
4,561202
4,572113
4,572137
4,572135
4,572125
4,572115
4,572139
4,572224
4,572202
4,572217
4,572114
4,572201
4,572140
4,572106
4,572118
4,572101
4,572104
4,572107
4,572128
4,572138
4,572102
4,572168
4,572122
4,572103
4,572105
4,572145
4,572227
4,572221
4,574101
4,576117
4,574102
4,574122
4,574129
4,576112
4,576111
4,574110
4,576121
4,574107
4,574108
4,574104
4,574109
4,574144
4,574114
4,574244
4,576126
4,576127
4,576283
4,576233
4,576227
4,576211
4,576212
4,576222
4,576224
4,576221
4,576244
4,576214
4,576230
4,576201
4,576216
4,576247
4,576235
4,576210
4,576229
4,576219
4,576282
4,576231
4,576254
4,576220
4,576217
4,576257
4,576228
4,576232
4,576225
4,576101
4,574119
4,576226
4,574118
4,576103
4,576124
4,576213
4,576107
4,576223
4,574103
4,574117
4,576115
4,576234
4,576113
4,574115
4,576215
4,576102
4,574113
4,576218
4,576122
4,574106
4,576114
4,574105
4,576120
4,576105
4,574116
4,576106
4,576108
4,574504
4,576104
4,574138
4,574111
4,574112
4,574139
4,581314
4,581384
4,581400
4,581352
4,581440
4,581344
4,581319
4,581316
4,581353
4,581321
4,581357
4,581354
4,581350
4,581320
4,581421
4,581325
4,581363
4,581329
4,581356
4,581365
4,581348
4,581342
4,581334
4,581423
4,581323
4,581361
4,581327
4,581338
4,581335
4,581341
4,581453
4,581187
4,581129
4,581121
4,581186
4,581345
4,581324
4,581360
4,581317
4,581302
4,581306
4,581307
4,581328
4,581396
4,581339
4,581301
4,581305
4,581303
4,581304
4,581351
4,581343
4,581333
4,581326
4,581362
4,581330
4,581332
4,581349
4,581346
4,581411
4,581355
4,581340
4,581322
4,581331
4,581450
4,581315
4,581358
4,581402
4,581336
4,581318
4,581403
4,581401
4,581359
4,581337
4,581347
4,581412
