zone_id,pincode_number
4,690103
4,688565
4,688002
4,688007
4,688012
4,688001
4,688011
4,688005
4,688561
4,688006
4,688522
4,688564
4,688546
4,688538
4,688521
4,688009
4,688567
4,688014
4,688004
4,690551
4,688003
4,688013
4,688563
4,688008
4,689126
4,689122
4,689505
4,689510
4,689121
4,689511
4,689123
4,689624
4,689109
4,689622
4,689124
4,689504
4,689508
4,690509
4,689521
4,689625
4,690510
4,689520
4,689509
4,689125
4,688531
4,688535
4,688530
4,688547
4,688524
4,688552
4,688587
4,688548
4,688550
4,688529
4,688544
4,688527
4,688556
4,688583
4,688539
4,688533
4,688558
4,688549
4,688545
4,688525
4,688559
4,688526
4,688541
4,688584
4,688566
4,688540
4,688570
4,688523
4,688582
4,688554
4,688557
4,688532
4,688528
4,688581
4,688543
4,688555
4,688536
4,688534
4,690517
4,690513
4,690515
4,690565
4,690507
4,690563
4,690532
4,690506
4,690516
4,690564
4,690553
4,690527
4,690514
4,690535
4,690572
4,690502
4,690508
4,690533
4,690548
4,690555
4,690550
4,690560
4,690511
4,690512
4,690552
4,690531
4,690556
4,690559
4,690549
4,690566
4,689577
4,689576
4,688505
4,689579
4,688502
4,688501
4,688506
4,688562
4,686534
4,688504
4,689571
4,689575
4,688503
4,688508
4,689595
4,689572
4,689722
4,689573
4,686107
4,686103
4,686102
4,689598
4,689721
4,689723
4,689590
4,688542
4,690110
4,690504
4,689515
4,690541
4,690505
4,690105
4,690104
4,690106
4,690534
4,690108
4,690503
4,690501
4,690570
4,690109
4,689512
4,690558
4,690101
4,689627
4,690571
4,690529
4,690107
4,690537
4,690102
4,690530
4,690557
4,683579
4,683101
4,683581
4,683572
4,683573
4,683585
4,683577
4,683571
4,683102
4,683564
4,683561
4,683112
4,683583
4,683574
4,683575
4,683576
4,683562
4,683111
4,683565
4,683587
4,683589
4,683563
4,683584
4,683582
4,683593
4,683578
4,683105
4,683580
4,683106
4,683108
4,683586
4,680667
4,682021
4,686632
4,686635
4,686612
4,686608
4,686617
4,686609
4,686605
4,686610
4,686613
4,686616
4,686634
4,686146
4,686642
4,686606
4,686611
4,686636
4,686604
4,686641
4,686607
4,686145
4,686143
4,686142
4,686141
4,686596
4,686587
4,686144
4,686638
4,673525
4,673620
4,673527
4,673528
4,673524
4,673618
4,673612
4,673526
4,673315
4,673306
4,673304
4,673529
4,673574
4,673523
4,673615
4,673614
4,673307
4,673522
4,673621
4,673532
4,673305
4,673327
4,673508
4,673321
4,673325
4,673326
4,673624
4,673317
4,673318
4,673323
4,673623
4,673639
4,673586
4,673602
4,673603
4,673028
4,673572
4,673015
4,673018
4,673032
4,673001
4,673020
4,673008
4,673002
4,673301
4,673573
4,673601
4,673616
4,673571
4,673580
4,673661
4,673655
4,673017
4,673005
4,673303
4,673006
4,673585
4,673632
4,673631
4,673016
4,673014
4,673570
4,673302
4,673604
4,673611
4,673619
4,673003
4,673010
4,673643
4,673007
4,673023
4,673583
4,673617
4,673009
4,673534
4,673328
4,673012
4,673011
4,673027
4,673613
4,673025
4,673019
4,673026
4,673024
4,673013
4,673021
4,673004
4,673633
4,673029
4,673577
4,673579
4,673517
4,673513
4,673507
4,673544
4,673521
4,673309
4,673541
4,673511
4,673509
4,673506
4,673104
4,673512
4,673308
4,673106
4,673520
4,673502
4,673501
4,673514
4,673504
4,673102
4,673542
4,673519
4,673505
4,673515
4,673503
4,673310
4,673105
4,673107
4,673109
4,673516
4,673110
4,673112
4,673530
4,673111
4,673108
4,673103
4,673101
4,673518
4,673510
4,673641
4,676123
4,676509
4,673637
4,673638
4,673647
4,676541
4,676521
4,679327
4,673645
4,676519
4,676122
4,676513
4,676121
4,673640
4,673644
4,676522
4,676505
4,673648
4,676514
4,673642
4,673649
4,676517
4,679339
4,673634
4,676126
4,676127
4,673651
4,673652
4,676525
4,679332
4,679329
4,679334
4,679342
4,679328
4,679355
4,679331
4,679343
4,676523
4,679333
4,679344
4,676542
4,679330
4,679348
4,679354
4,679357
4,679322
4,679321
4,676504
4,679323
4,679325
4,679340
4,679326
4,679324
4,679338
4,676506
4,676507
4,679350
4,679352
4,679351
4,679585
4,679573
4,679594
4,679576
4,679580
4,679589
4,679575
4,679587
4,679579
4,679582
4,679586
4,679584
4,679591
4,679581
4,679574
4,679578
4,679577
4,679583
4,676102
4,676301
4,676310
