zone_id,pincode_number
6,484116
6,484224
6,484117
6,484001
6,484220
6,484120
6,484330
6,484113
6,484334
6,484440
6,484446
6,484336
6,484444
6,484881
6,484886
6,473330
6,473331
6,473338
6,473446
6,473335
6,473885
6,473443
6,473440
6,481117
6,481111
6,481556
6,481051
6,481105
6,481116
6,481102
6,481001
6,481551
6,481445
6,481332
6,481449
6,481337
6,481226
6,481115
6,481441
6,481331
6,481222
6,481224
6,481335
6,451666
6,451556
6,451551
6,451447
6,451449
6,451661
6,451667
6,451770
6,451881
6,451442
6,451660
6,460110
6,460330
6,460553
6,460551
6,460554
6,460220
6,460225
6,460001
6,460004
6,460663
6,460669
6,460666
6,460660
6,460668
6,460557
6,460449
6,460440
6,460443
6,460447
6,477111
6,477555
6,477331
6,477332
6,477333
6,477001
6,477105
6,477566
6,475110
6,475115
6,477116
6,477117
6,477445
6,477446
6,477449
6,477447
6,477227
6,477557
6,477660
6,477222
6,477441
6,477335
6,462016
6,462031
6,462030
6,462042
6,462021
6,462011
6,462038
6,462041
6,462043
6,462026
6,463106
6,462010
6,462045
6,462101
6,462044
6,462008
6,463111
6,462001
6,462022
6,462420
6,462003
6,462027
6,462036
6,462023
6,462024
6,462007
6,462004
6,462032
6,462013
6,462039
6,462002
6,450331
6,450445
6,450332
6,450001
6,450221
6,450661
6,471318
6,471405
6,471001
6,471105
6,471408
6,471315
6,471501
6,471411
6,471101
6,471111
6,471515
6,471510
6,471606
6,471525
6,471301
6,471311
6,471313
6,471201
6,471202
6,471625
6,480337
6,480221
6,480225
6,480111
6,480447
6,480107
6,480331
6,480001
6,480002
6,480115
6,480110
6,480554
6,480224
6,480555
6,480449
6,480551
6,480553
6,480334
6,480338
6,480441
6,480357
6,480106
6,480109
6,480108
6,480000
6,480559
6,470662
6,470673
6,470771
6,470675
6,470661
6,470672
6,470664
6,470663
6,470881
6,470772
6,470880
6,486550
6,486005
6,486450
6,486440
6,486003
6,486001
6,486223
6,486556
6,486447
6,486446
6,486115
6,486331
6,486340
6,486341
6,486333
6,486335
6,486117
6,486111
6,486338
6,486123
6,486114
6,457555
6,486445
6,486441
6,486226
6,470226
6,470339
6,470232
6,470229
6,470117
6,470125
6,470113
6,470227
6,470441
6,470223
6,470001
6,470442
6,470118
6,470228
6,470335
6,470120
6,470221
6,470115
6,470051
6,470337
6,470119
6,470004
6,470122
6,470002
6,470003
6,470669
6,485331
6,485775
6,485778
6,485001
6,485772
6,485773
6,485774
6,485661
6,485771
6,485447
6,485446
6,485551
6,485334
6,485112
6,485221
6,485226
6,485441
6,485005
6,485666
6,485113
6,485114
6,485336
6,485111
6,485881
6,485115
6,466665
6,466116
6,466113
6,466221
6,466117
6,466119
6,466125
6,466118
6,466120
6,466448
6,466111
6,466445
6,466661
6,466115
6,466114
6,466331
6,466446
6,466001
6,466554
6,466651
6,480771
6,480667
6,480997
6,480999
6,480884
6,480991
6,480994
6,480996
6,480880
6,480881
6,480888
6,480882
6,480887
6,480886
6,480661
6,480990
6,484774
6,484776
6,484669
6,484771
6,484110
6,484770
6,484114
6,465441
6,465223
6,465516
6,465550
6,465226
6,465110
6,465335
6,465337
6,465220
6,465230
6,465339
6,465106
6,465445
6,465116
6,465227
6,465001
6,465331
6,465333
6,465440
6,465113
6,465447
6,476332
6,476335
6,476337
6,476339
6,476355
6,473665
6,473660
6,473662
6,473585
6,473990
6,473770
6,473781
6,473774
6,473583
6,473880
6,473865
6,473995
6,473670
6,473993
6,473793
6,473775
6,473785
6,473638
6,473551
6,486882
6,486892
6,486771
6,486881
6,486661
6,486669
6,486666
6,486775
6,486776
6,486670
6,486887
6,486884
6,486889
6,486886
6,486888
6,486890
6,472111
6,472339
6,472010
6,472118
6,472115
6,472442
6,472246
6,472221
6,472331
6,472101
6,472447
6,472005
6,472338
6,472446
6,472337
6,472445
6,472001
6,456222
6,456771
6,456313
6,456331
6,456664
6,456550
6,456668
6,456441
6,456770
6,456224
6,456335
6,456440
6,456443
6,456337
6,456776
6,456661
6,456665
6,456006
6,456003
6,456010
6,456001
6,456221
6,484555
6,484552
6,484551
6,484660
6,484661
6,484665
6,464111
6,464113
6,464001
6,464221
6,464220
6,464226
6,464337
6,464228
6,464224
6,464331
6,464114
6,464258
