zone_id,pincode_number
1,759122
1,759132
1,759128
1,759129
1,759143
1,759141
1,759124
1,759130
1,759145
1,759123
1,759125
1,759126
1,759127
1,759118
1,759119
1,759100
1,759117
1,759103
1,759105
1,759116
1,759104
1,759147
1,759102
1,759148
1,759037
1,759101
1,759107
1,759106
1,767002
1,767016
1,767001
1,767024
1,767048
1,767029
1,767065
1,767020
1,767033
1,767040
1,767038
1,767035
1,767039
1,767022
1,767021
1,767061
1,767068
1,767026
1,767025
1,767027
1,767041
1,767028
1,767023
1,767066
1,767032
1,767037
1,767042
1,767070
1,767067
1,767030
1,767046
1,756019
1,756001
1,756003
1,756025
1,756056
1,756021
1,756002
1,756026
1,756024
1,756083
1,756023
1,756115
1,756027
1,756030
1,756028
1,756029
1,756022
1,756080
1,756081
1,756038
1,756036
1,756079
1,756037
1,756035
1,756085
1,756039
1,756032
1,756034
1,756033
1,756084
1,756018
1,756020
1,756058
1,756060
1,756049
1,756040
1,756041
1,756053
1,756134
1,756182
1,756126
1,756166
1,756059
1,756047
1,756043
1,756046
1,756045
1,756048
1,756044
1,756051
1,756042
1,756055
1,768031
1,768052
1,768045
1,768030
1,768027
1,768111
1,768102
1,768038
1,768028
1,768104
1,768040
1,768029
1,768103
1,768115
1,768032
1,768048
1,768037
1,768035
1,768042
1,768036
1,768039
1,768050
1,768049
1,768033
1,768034
1,756114
1,756113
1,756112
1,756144
1,756142
1,756165
1,756125
1,756124
1,756123
1,756168
1,756164
1,756162
1,756128
1,756101
1,756116
1,756135
1,756111
1,756100
1,756181
1,756132
1,756129
1,756138
1,756133
1,756171
1,758022
1,758021
1,758043
1,758025
1,758015
1,758020
1,758034
1,758037
1,758038
1,758035
1,758040
1,758052
1,758036
1,758047
1,758031
1,758032
1,758044
1,758046
1,758041
1,758028
1,758082
1,758016
1,758027
1,758079
1,758026
1,758081
1,758080
1,758029
1,758083
1,758023
1,758078
1,756121
1,758014
1,755019
1,758018
1,758013
1,758002
1,758001
1,758072
1,758017
1,758045
1,758030
1,758076
1,758019
1,752030
1,752031
1,752035
1,752019
1,752034
1,752027
1,752028
1,752037
1,752062
1,752038
1,751001
1,752103
1,751022
1,751020
1,751019
1,751003
1,752054
1,752050
1,751009
1,752102
1,751014
1,751018
1,752100
1,752101
1,751002
1,752115
1,751006
1,751011
1,751016
1,751010
1,751015
1,751024
1,751030
1,751017
1,751012
1,751031
1,751008
1,751013
1,751023
1,751007
1,751021
1,751005
1,751004
1,752066
1,752064
1,752060
1,752061
1,752055
1,752056
1,752020
1,752018
1,752057
1,752021
1,752023
1,752022
1,764006
1,764057
1,764056
1,764055
1,764003
1,764005
1,764002
1,764001
1,764043
1,764004
1,764021
1,764027
1,763008
1,764028
1,763003
1,764036
1,764011
1,764020
1,763004
1,763002
1,763001
1,764058
1,765013
1,764041
1,764040
1,764081
1,764042
1,764014
1,764039
1,764037
1,764038
1,764046
1,764045
1,764052
1,764051
1,764044
1,764086
1,764047
1,764048
1,764087
1,757053
1,757054
1,757046
1,757024
1,757030
1,757001
1,757105
1,757021
1,757032
1,757084
1,757086
1,757023
1,757092
1,757051
1,757022
1,757014
1,757031
1,757049
1,757107
1,757002
1,757081
1,757003
1,757093
1,757015
1,757075
1,757083
1,757026
1,757074
1,757017
1,757103
1,757025
1,757082
1,757052
1,757028
1,757029
1,757100
1,757035
1,757039
1,757034
1,757036
1,757091
1,757038
1,757037
1,757104
1,757020
1,757016
1,757073
1,757018
1,757050
1,757048
1,757043
1,757042
1,757033
1,757047
1,757045
1,757055
1,757041
1,757087
1,757019
1,757040
1,757077
1,757101
1,757085
1,757102
1,757079
1,757027
1,757106
1,764075
1,764061
1,764071
1,764059
1,764063
1,764070
1,764049
1,764078
1,764085
1,764073
1,764077
1,764072
1,764076
1,764074
1,752063
1,752084
1,752085
1,752093
1,752094
1,752090
1,752077
1,752078
1,752068
1,752082
1,752089
1,752081
1,752080
1,752070
1,752091
1,752083
1,752079
1,752087
1,752069
1,752092
1,752024
1,752025
1,752065
1,752026
1,766111
1,766118
1,766107
1,766104
1,766106
1,766105
1,766108
1,752011
1,752109
1,752111
1,752118
1,752107
1,752108
1,752119
1,752116
1,752033
1,752032
1,752114
1,752106
1,752105
1,752110
1,752120
1,752121
1,752113
1,752104
1,752112
1,752016
1,752012
1,752017
1,752001
1,752002
1,752014
1,752013
1,752046
1,752015
1,752003
1,752045
1,765015
1,765021
1,765019
1,765026
1,765025
1,765033
1,765029
1,765024
1,764062
1,765023
1,765022
1,765034
1,765016
1,765020
1,765017
1,765002
1,765018
1,765001
1,768221
1,768224
1,768006
1,768016
1,768025
1,768200
1,768001
1,768017
1,768026
1,768018
1,768020
1,768019
1,768107
1,768112
1,768214
1,768105
1,768222
1,768228
1,768227
1,768113
1,768005
1,768106
1,768118
1,768212
1,768004
1,768003
1,768002
1,767062
1,767045
1,767019
1,767018
1,767017
1,770014
1,770015
1,770074
1,770016
1,770036
1,770032
1,769042
1,770037
1,770038
1,770051
1,770043
1,770076
1,770075
1,770024
1,770013
1,770021
1,770072
1,770040
1,770048
1,770052
1,770042
1,770033
1,770034
1,770039
1,769003
1,770023
1,770018
1,770070
1,770041
1,770044
1,769043
1,770031
1,769004
1,770012
1,770011
1,770035
1,770046
1,770017
1,769009
1,769012
1,769011
1,769001
1,769007
1,769015
1,769010
1,769013
1,769014
1,769002
1,769005
1,769006
1,769008
1,769016
1,770020
1,770002
1,770019
1,770022
1,770073
1,770001
