zone_id,pincode_number
3,305008
3,305005
3,305001
3,305206
3,305811
3,305025
3,305022
3,305023
3,305205
3,305004
3,305007
3,305003
3,305012
3,305002
3,305021
3,305024
3,305009
3,305207
3,305922
3,305901
3,305203
3,305926
3,305623
3,305204
3,305925
3,305927
3,305202
3,305201
3,305923
3,305924
3,305622
3,305621
3,305601
3,305404
3,305405
3,305407
3,305408
3,305415
3,305406
3,305801
3,305814
3,305813
3,305812
3,305802
3,305819
3,305815
3,305816
3,305401
3,305412
3,305624
3,305625
3,305627
3,305402
3,305403
3,301001
3,310029
3,301028
3,301030
3,301406
3,301023
3,301703
3,301713
3,301701
3,301714
3,301020
3,301709
3,301402
3,301416
3,301712
3,301405
3,301702
3,301021
3,321607
3,321606
3,321006
3,321633
3,321605
3,301604
3,301401
3,301412
3,301404
3,301407
3,301427
3,301403
3,301708
3,301706
3,301704
3,301705
3,301035
3,301414
3,301410
3,301408
3,301413
3,301409
3,301026
3,301025
3,301027
3,301024
3,301022
3,301019
3,301018
3,301411
3,301707
3,327022
3,327027
3,327001
3,327034
3,327606
3,327025
3,327032
3,327605
3,327021
3,327023
3,327031
3,327602
3,327026
3,327801
3,327601
3,327608
3,327604
3,327024
3,325217
3,325221
3,325218
3,325215
3,325223
3,326502
3,325216
3,325209
3,325205
3,325220
3,325202
3,325222
3,325219
3,325225
3,325207
3,325206
3,326529
3,344704
3,344701
3,344034
3,344022
3,344001
3,344011
3,344702
3,344708
3,344501
3,344031
3,344705
3,344024
3,344026
3,344035
3,344025
3,344043
3,344027
3,344032
3,344801
3,344502
3,344012
3,344703
3,344021
3,344706
3,344033
3,344044
3,344037
3,321001
3,321405
3,321401
3,321411
3,321402
3,321410
3,321403
3,321404
3,321202
3,321025
3,321303
3,321022
3,321614
3,321024
3,321615
3,321407
3,321602
3,321302
3,321201
3,321028
3,321203
3,321026
3,321023
3,321409
3,321301
3,321021
3,321406
3,321205
3,321204
3,321642
3,321603
3,321601
3,321305
3,321408
3,311201
3,311001
3,311030
3,311801
3,311202
3,311803
3,311026
3,311402
3,311029
3,311204
3,311607
3,311025
3,311605
3,311804
3,311404
3,311405
3,311602
3,311023
3,311301
3,311802
3,311401
3,311021
