zone_id,pincode_number
4,621707
4,621719
4,621714
4,621701
4,621713
4,621718
4,621709
4,621704
4,621729
4,621705
4,621730
4,612904
4,621710
4,621651
4,608901
4,612903
4,612902
4,621801
4,621802
4,621901
4,621806
4,621804
4,621803
4,621805
4,608703
4,621715
4,621851
4,621218
4,621653
4,621703
4,621722
4,600002
4,600041
4,600113
4,600101
4,600018
4,600001
4,600005
4,600094
4,600118
4,600014
4,600086
4,600006
4,600017
4,600034
4,600004
4,600020
4,600083
4,600090
4,600032
4,600025
4,600028
4,600015
4,600036
4,600078
4,600024
4,600085
4,600092
4,600033
4,600035
4,600022
4,600093
4,600026
4,600042
4,600008
4,600029
4,600040
4,600031
4,600106
4,600030
4,600013
4,600107
4,600082
4,600102
4,600023
4,600112
4,600012
4,600084
4,600038
4,600010
4,600011
4,600007
4,600108
4,600021
4,600003
4,600009
4,600104
4,600079
4,600081
4,600039
4,641665
4,641113
4,641670
4,638660
4,641652
4,641668
4,641654
4,641048
4,638402
4,641041
4,641655
4,641653
4,641697
4,641601
4,641108
4,638462
4,638103
4,641110
4,641019
4,641029
4,641025
4,641107
4,641013
4,641047
4,641022
4,641030
4,641035
4,641020
4,641031
4,641017
4,641034
4,641101
4,641032
4,641046
4,641105
4,641018
4,641201
4,641006
4,641014
4,641009
4,641001
4,641021
4,641109
4,641016
4,641004
4,641012
4,641010
4,641114
4,641026
4,641023
4,641042
4,641045
4,641008
4,641038
4,641003
4,641005
4,641036
4,641033
4,641028
4,641011
4,641037
4,641002
4,641027
4,641007
4,641043
4,641044
4,641062
4,641024
4,641039
4,641015
4,641111
4,638458
4,641104
4,641302
4,641305
4,638461
4,641671
4,641301
4,641106
4,641663
4,641664
4,641402
4,641103
4,641658
4,641669
4,641659
4,641667
4,641401
4,641662
4,642002
4,642004
4,642127
4,642110
4,642101
4,642103
4,642104
4,642120
4,642007
4,642109
4,642106
4,642202
4,642005
4,642001
4,642108
4,642129
4,642003
4,642130
4,641202
4,642114
4,642105
4,642117
4,642118
4,642131
4,642134
4,642123
4,642133
4,642125
4,642124
4,642153
4,642006
4,641687
4,641604
4,641603
4,641666
4,641602
4,641608
4,641607
4,641606
4,641605
4,642207
4,642205
4,642201
4,642102
4,642154
4,642206
4,642132
4,642112
4,642126
4,642122
4,642107
4,642203
4,642204
4,642111
4,642113
4,642128
4,608303
4,608502
4,608001
4,608401
4,608801
4,608002
4,608201
4,608601
4,608501
4,608302
4,608102
4,608602
4,607302
4,607003
4,607109
4,607301
4,607001
4,607005
4,605106
4,607308
4,607105
4,607002
4,607004
4,605007
4,607401
4,607402
4,608704
4,608701
4,608702
4,608301
4,608305
4,608306
4,608304
4,607802
4,607205
4,607101
4,607110
4,607103
4,607102
4,607108
4,607801
4,607803
4,607807
4,607104
4,607805
4,607106
4,607303
4,607112
4,606106
4,606108
4,606303
4,606111
4,606105
4,606123
4,606304
4,606001
4,606110
4,606104
4,606103
4,606302
4,607804
4,606120
4,635202
4,636810
4,635302
4,636808
4,635303
4,636705
