zone_id,pincode_number
4,500004
4,500045
4,500075
4,500034
4,500018
4,500022
4,500104
4,500046
4,500081
4,500033
4,500096
4,500032
4,500029
4,500001
4,500008
4,500107
4,500091
4,500028
4,500111
4,500082
4,500109
4,500031
4,500006
4,500084
4,500063
4,500019
4,500089
4,500114
4,500110
4,500095
4,500041
4,500038
4,500073
4,500057
4,501510
4,501506
4,500030
4,501509
4,500112
4,500013
4,501512
4,500044
4,501508
4,500115
4,500058
4,500064
4,500005
4,501505
4,500027
4,500012
4,500092
4,500060
4,501218
4,501359
4,500086
4,500053
4,500065
4,500068
4,500052
4,500097
4,500079
4,500066
4,500051
4,500035
4,500002
4,500048
4,500076
4,500077
4,501511
4,500074
4,500036
4,500098
4,500039
4,500108
4,500102
4,500069
4,500024
4,500059
4,500070
4,500023
4,502278
4,502108
4,502115
4,502311
4,502280
4,502281
4,502310
4,502247
4,502103
4,502109
4,502267
4,502277
4,502114
4,502302
4,502113
4,502375
4,502117
4,502334
4,502279
4,502102
4,502381
4,502255
4,502276
4,502301
4,502107
4,502130
4,502248
4,502335
4,502336
4,502312
4,502331
4,502372
4,502125
4,502303
4,531149
4,502110
4,502101
4,502032
4,502286
4,502325
4,502314
4,502270
4,502318
4,502269
4,502273
4,502306
4,502345
4,502313
4,502287
4,502291
4,502371
4,502293
4,502305
4,502210
4,502296
4,502290
4,502228
4,502295
4,502256
4,502221
4,502271
4,502285
4,502319
4,502321
4,502307
4,502251
4,502300
4,502294
4,502329
4,502246
4,502257
4,502324
4,502249
4,502316
4,509320
4,502205
4,502001
4,502220
4,501142
4,501144
4,501502
4,500043
4,500101
4,501102
4,501141
4,501503
4,500010
4,501504
4,501202
4,500047
4,501301
4,500015
4,500040
4,501111
4,500020
4,501401
4,500090
4,500037
4,501106
4,501143
4,500016
4,501203
4,500078
4,500011
4,501158
4,500050
4,501501
4,501121
4,500100
4,500062
4,500055
4,500080
4,500014
4,500042
4,500025
4,500054
4,500007
4,500103
4,500087
4,500085
4,500088
4,500003
4,500072
4,500017
4,500009
4,500049
4,500083
4,500026
4,500056
4,500094
4,500061
4,500067
4,501101
4,500093
4,504273
4,504293
4,504307
4,504001
4,504251
4,504309
4,504201
4,504110
4,504202
4,504296
4,504231
4,504109
4,504299
4,504002
4,504204
4,504312
4,504313
4,504101
4,504205
4,504203
4,504295
4,504106
4,504306
4,504304
4,504103
4,504308
4,504311
4,504272
4,504323
4,504215
4,504346
4,504310
4,504294
4,504302
