zone_id,pincode_number
2,799286
2,799289
2,799285
2,799204
2,799284
2,799273
2,799275
2,799278
2,799287
2,799281
2,799264
2,799271
2,799253
2,799262
2,799254
2,799251
2,799279
2,799269
2,799280
2,799261
2,799290
2,799101
2,799108
2,799157
2,799179
2,799155
2,799125
2,799156
2,799104
2,799141
2,799105
2,799143
2,799149
2,799159
2,799142
2,799120
2,799153
2,799150
2,799145
2,799144
2,799114
2,799013
2,799116
2,799201
2,799207
2,799203
2,799205
2,799045
2,799102
2,799100
2,799103
2,799106
2,799055
2,799210
2,799132
2,799008
2,799202
2,799115
2,799211
2,799035
2,799005
2,799009
2,799004
2,799001
2,799014
2,799003
2,799015
2,799007
2,799010
2,799006
2,799002
2,799012
2,799130
2,799212
2,799213
2,799181
2,
