zone_id,pincode_number
6,263625
6,263601
6,263624
6,263636
6,263622
6,263678
6,263684
6,263643
6,263645
6,263623
6,263687
6,263683
6,263681
6,263665
6,263661
6,263646
6,263667
6,263680
6,263660
6,263659
6,263676
6,244718
6,263656
6,263658
6,263653
6,263675
6,263662
6,263654
6,263621
6,263620
6,263639
6,263626
6,263652
6,263663
6,263664
6,263651
6,263677
6,263671
6,263686
6,263655
6,263627
6,263689
6,263629
6,263638
6,263628
6,263642
6,263610
6,263630
6,263641
6,263635
6,263688
6,263640
6,263631
6,263632
6,263634
6,263633
6,263679
6,246424
6,246449
6,246401
6,246472
6,246426
6,246458
6,246487
6,246440
6,246428
6,246486
6,246431
6,246454
6,246435
6,246422
6,246423
6,246443
6,246447
6,246483
6,246444
6,246488
6,246429
6,246446
6,246474
6,246451
6,246456
6,246452
6,246450
6,246473
6,246455
6,246427
6,246482
6,246481
6,246441
6,246489
6,246453
6,262523
6,262525
6,262524
6,262527
6,262528
6,262580
6,262310
6,263301
6,263309
6,247670
6,248124
6,248196
6,248252
6,248197
6,248123
6,248164
6,248165
6,248159
6,248119
6,248199
6,248007
6,248001
6,248161
6,248121
6,248003
6,248140
6,248005
6,248008
6,248122
6,248009
6,248141
6,249204
6,248002
6,248160
6,248006
6,248195
6,248179
6,248171
6,248110
6,248115
6,248010
6,248126
6,248102
6,248146
6,248152
6,248143
6,249205
6,249201
6,248145
6,248202
6,249203
6,262501
6,262529
6,262521
6,262530
6,262520
6,246425
6,246419
6,246141
6,246475
6,246171
6,246421
6,246471
6,246439
6,246469
6,246476
6,246445
6,246437
6,246442
6,246495
6,246438
6,246448
6,249122
6,249199
6,249146
6,249126
6,246186
6,249180
6,249145
6,249186
6,249165
6,249106
6,249155
6,249181
6,249121
6,249123
6,249162
6,249161
6,249147
6,249175
6,249192
6,249103
6,249142
6,249137
6,249001
6,249131
6,249156
6,249196
6,249132
6,249130
6,262401
6,262123
6,263152
6,263160
6,244712
6,244717
6,254716
6,263153
6,244713
6,244714
6,262308
6,262312
6,263148
6,263149
6,263145
6,244711
6,263150
6,263154
6,262405
6,262311
6,262403
6,249135
6,249195
6,249194
6,249171
6,249141
6,249191
6,249152
6,249151
6,249134
6,249185
6,249193
