id,city_area,city_name,state_name,country_name,zipcode,created_by
1,Abasana,Ahmedabad,Gujarat,India,382120,1
2,Adroda,Ahmedabad,Gujarat,India,382220,1
3,Adval,Ahmedabad,Gujarat,India,382460,1
4,Ahmedabad G.P.O.,Ahmedabad,Gujarat,India,380001,1
5,Akru,Ahmedabad,Gujarat,India,382250,1
6,Alampur,Ahmedabad,Gujarat,India,382245,1
7,Alau,Ahmedabad,Gujarat,India,382255,1
8,Ambali,Ahmedabad,Gujarat,India,382463,1
9,Ambalia,Ahmedabad,Gujarat,India,383345,1
10,Ambaliara,Ahmedabad,Gujarat,India,382225,1
11,Ambareli,Ahmedabad,Gujarat,India,382225,1
12,Ambawadi,Ahmedabad,Gujarat,India,380006,1
13,Ambawadi Vistar,Ahmedabad,Gujarat,India,380015,1
14,Ambli,Ahmedabad,Gujarat,India,380058,1
15,Amraiwadi,Ahmedabad,Gujarat,India,380026,1
16,Anand Nagar,Ahmedabad,Gujarat,India,380007,1
18,Andej,Ahmedabad,Gujarat,India,382210,1
19,Aniali Bhimji,Ahmedabad,Gujarat,India,382460,1
20,Aniali K,Ahmedabad,Gujarat,India,382245,1
21,Ankhol,Ahmedabad,Gujarat,India,382330,1
22,Arnej,Ahmedabad,Gujarat,India,382230,1
23,Asalgam,Ahmedabad,Gujarat,India,382150,1
24,Asarwa,Ahmedabad,Gujarat,India,380016,1
25,Asarwa Chakla,Ahmedabad,Gujarat,India,380016,1
26,Asarwa Ext South,Ahmedabad,Gujarat,India,380024,1
27,Ashoknagar,Ahmedabad,Gujarat,India,382140,1
28,Ashram Road,Ahmedabad,Gujarat,India,380009,1
29,Aslali,Ahmedabad,Gujarat,India,382427,1
30,Ayojan Nagar,Ahmedabad,Gujarat,India,380015,1
31,Azad Society,Ahmedabad,Gujarat,India,380015,1
32,Badarkha,Ahmedabad,Gujarat,India,382455,1
33,Bagad,Ahmedabad,Gujarat,India,382255,1
34,Bagodara,Ahmedabad,Gujarat,India,382230,1
35,Bajarda,Ahmedabad,Gujarat,India,382460,1
36,Bakrana,Ahmedabad,Gujarat,India,382170,1
37,Bakrol,Ahmedabad,Gujarat,India,382430,1
38,Baldana,Ahmedabad,Gujarat,India,382240,1
39,Balsasan,Ahmedabad,Gujarat,India,382145,1
40,Bamroli,Ahmedabad,Gujarat,India,382145,1
41,Bamsara,Ahmedabad,Gujarat,India,382240,1
42,Bapunagar,Ahmedabad,Gujarat,India,380024,1
43,Bareja,Ahmedabad,Gujarat,India,382425,1
45,Barwala Ghelasha,Ahmedabad,Gujarat,India,382450,1
46,Bavaliary,Ahmedabad,Gujarat,India,382455,1
47,Bavla,Ahmedabad,Gujarat,India,382220,1
48,Bavla Market Yard,Ahmedabad,Gujarat,India,382220,1
49,Behrampura,Ahmedabad,Gujarat,India,380022,1
50,Bhadaj,Ahmedabad,Gujarat,India,380060,1
51,Bhadana,Ahmedabad,Gujarat,India,382140,1
52,Bhadiad,Ahmedabad,Gujarat,India,382435,1
53,Bhairavnath Road,Ahmedabad,Gujarat,India,380028,1
54,Bhangadh,Ahmedabad,Gujarat,India,382455,1
55,Bhankoda,Ahmedabad,Gujarat,India,382140,1
56,Bhat,Ahmedabad,Gujarat,India,382428,1
57,Bhavda,Ahmedabad,Gujarat,India,382433,1
58,Bhayla,Ahmedabad,Gujarat,India,382220,1
59,Bhodad,Ahmedabad,Gujarat,India,382445,1
60,Bhojwa,Ahmedabad,Gujarat,India,382150,1
61,Bholad,Ahmedabad,Gujarat,India,382230,1
62,Bhoyani,Ahmedabad,Gujarat,India,382145,1
63,Bhurkhi,Ahmedabad,Gujarat,India,382230,1
64,Bhuvaldi,Ahmedabad,Gujarat,India,382430,1
65,Bilasia,Ahmedabad,Gujarat,India,382330,1
66,Bodakdev,Ahmedabad,Gujarat,India,380054,1
67,Bodia,Ahmedabad,Gujarat,India,382245,1
68,Bol,Ahmedabad,Gujarat,India,382170,1
69,Bopal,Ahmedabad,Gujarat,India,380058,1
70,Bordibazar Viramgam,Ahmedabad,Gujarat,India,382150,1
71,Buranpur,Ahmedabad,Gujarat,India,382465,1
72,Calico Mills,Ahmedabad,Gujarat,India,380022,1
73,Cantonment,Ahmedabad,Gujarat,India,380004,1
74,Chaloda,Ahmedabad,Gujarat,India,382260,1
75,Chandarva,Ahmedabad,Gujarat,India,382255,1
76,Chandial,Ahmedabad,Gujarat,India,382433,1
77,Chandisar,Ahmedabad,Gujarat,India,382130,1
78,Chandkheda,Ahmedabad,Gujarat,India,382424,1
80,Chandlodia,Ahmedabad,Gujarat,India,382481,1
81,Chandranagar,Ahmedabad,Gujarat,India,382150,1
82,Changodar,Ahmedabad,Gujarat,India,382213,1
83,Charanki,Ahmedabad,Gujarat,India,382450,1
84,Charel,Ahmedabad,Gujarat,India,382110,1
85,Chaulaj,Ahmedabad,Gujarat,India,382433,1
86,Chekhla,Ahmedabad,Gujarat,India,382210,1
87,Chhabasar,Ahmedabad,Gujarat,India,382220,1
88,Chhaniar,Ahmedabad,Gujarat,India,382140,1
89,Chharodi,Ahmedabad,Gujarat,India,382170,1
90,Chhasiana,Ahmedabad,Gujarat,India,382460,1
91,Chiada,Ahmedabad,Gujarat,India,382220,1
92,Chokdi,Ahmedabad,Gujarat,India,382250,1
93,Chuval Dangarva,Ahmedabad,Gujarat,India,382145,1
94,Civil Hospital,Ahmedabad,Gujarat,India,380016,1
95,CTM,Ahmedabad,Gujarat,India,380026,1
96,Ctm Char Rasta,Ahmedabad,Gujarat,India,380026,1
97,D Cabin,Ahmedabad,Gujarat,India,380019,1
98,Dabhoda,Ahmedabad,Gujarat,India,382355,1
99,Dabhsar,Ahmedabad,Gujarat,India,382120,1
100,Dadhana,Ahmedabad,Gujarat,India,382120,1
101,Daduka,Ahmedabad,Gujarat,India,382110,1
102,Dadusar,Ahmedabad,Gujarat,India,382225,1
103,Dahegam,Ahmedabad,Gujarat,India,382305,1
104,Dalod,Ahmedabad,Gujarat,India,382130,1
105,Daran,Ahmedabad,Gujarat,India,382220,1
106,Dariapur,Ahmedabad,Gujarat,India,380001,1
108,Darpan Society,Ahmedabad,Gujarat,India,380009,1
109,Daskroi,Ahmedabad,Gujarat,India,382430,1
