id,business_category,created_by
1,Digital Marketing,1
2,Social Media Advertising,1
3,Search Engine Marketing (SEM / PPC),1
4,Search Engine Optimization (SEO),1
5,Content Marketing,1
6,Influencer Marketing,1
7,Affiliate Marketing,1
8,Programmatic Advertising,1
9,Email Marketing,1
10,Video Advertising (YouTube / OTT),1
11,Display Advertising / Banner Ads,1
12,Mobile Advertising,1
13,Outdoor / OOH Advertising,1
14,TV / Broadcast Advertising,1
15,Radio Advertising,1
16,Print Advertising,1
17,Transit Advertising,1
18,Retail / In-store Advertising,1
19,Event / Experiential Marketing,1
20,Podcast Advertising,1
