id,name,state_name,country_name,created_by
1,Adalaj,Gujarat,India,1
2,Agol,Gujarat,India,1
3,Abrama,Gujarat,India,1
4,Ahmedabad,Gujarat,India,1
5,Ahwa,Gujarat,India,1
6,Akrund,Gujarat,India,1
7,Amod,Gujarat,India,1
8,Amreli,Gujarat,India,1
9,Amroli,Gujarat,India,1
10,Anand,Gujarat,India,1
11,Anjar,Gujarat,India,1
12,Ankleshwar,Gujarat,India,1
13,Babra,Gujarat,India,1
14,Bagasara,Gujarat,India,1
15,Bagasra,Gujarat,India,1
16,Bakharla,Gujarat,India,1
17,Balagam,Gujarat,India,1
18,Balasinor,Gujarat,India,1
19,Balisana,Gujarat,India,1
20,Bamanbore,Gujarat,India,1
21,Banas Kantha,Gujarat,India,1
22,Bandia,Gujarat,India,1
23,Bantva,Gujarat,India,1
24,Bardoli,Gujarat,India,1
25,Bavla,Gujarat,India,1
26,Bedi,Gujarat,India,1
27,Bhachau,Gujarat,India,1
28,Bhadran,Gujarat,India,1
29,Bhandu,Gujarat,India,1
30,Bhanvad,Gujarat,India,1
31,Bharuch,Gujarat,India,1
32,Bhatha,Gujarat,India,1
33,Bhavnagar,Gujarat,India,1
34,Bhayavadar,Gujarat,India,1
35,Bhildi,Gujarat,India,1
36,Bhojpur Dharampur,Gujarat,India,1
37,Bhuj,Gujarat,India,1
38,Bilimora,Gujarat,India,1
39,Bilkha,Gujarat,India,1
40,Borsad,Gujarat,India,1
41,Botad,Gujarat,India,1
42,Chaklasi,Gujarat,India,1
43,Chalala,Gujarat,India,1
44,Chaloda,Gujarat,India,1
45,Champaner,Gujarat,India,1
46,Chanasma,Gujarat,India,1
47,Chhala,Gujarat,India,1
48,Chhota Udepur,Gujarat,India,1
49,Chikhli,Gujarat,India,1
50,Chotila,Gujarat,India,1
51,Chuda,Gujarat,India,1
52,Dabhoda,Gujarat,India,1
53,Dabhoi,Gujarat,India,1
54,Dahegam,Gujarat,India,1
55,Dahod,Gujarat,India,1
56,Dakor,Gujarat,India,1
57,Damnagar,Gujarat,India,1
58,Dandi,Gujarat,India,1
59,Danta,Gujarat,India,1
60,Dayapar,Gujarat,India,1
61,Delvada,Gujarat,India,1
62,Delwada,Gujarat,India,1
63,Detroj,Gujarat,India,1
64,Devbhumi Dwarka,Gujarat,India,1
65,Devgadh Bariya,Gujarat,India,1
66,Dhandhuka,Gujarat,India,1
67,Dhanera,Gujarat,India,1
68,Dhansura,Gujarat,India,1
69,Dharampur,Gujarat,India,1
70,Dharasana,Gujarat,India,1
71,Dhari,Gujarat,India,1
72,Dhasa,Gujarat,India,1
