id,city_area,city_name,state_name,country_name,zipcode,created_by
1,Abasana,Ahmedabad,Gujarat,India,382120,1
2,Adroda,Ahmedabad,Gujarat,India,382220,1
3,Adval,Ahmedabad,Gujarat,India,382460,1
4,Ahmedabad G.P.O.,Ahmedabad,Gujarat,India,380001,1
5,Akru,Ahmedabad,Gujarat,India,382250,1
6,Alampur,Ahmedabad,Gujarat,India,382245,1
7,Alau,Ahmedabad,Gujarat,India,382255,1
8,Ambali,Ahmedabad,Gujarat,India,382463,1
9,Ambalia,Ahmedabad,Gujarat,India,383345,1
10,Ambaliara,Ahmedabad,Gujarat,India,382225,1
11,Ambareli,Ahmedabad,Gujarat,India,382225,1
12,Ambawadi,Ahmedabad,Gujarat,India,380006,1
13,Ambawadi Vistar,Ahmedabad,Gujarat,India,380015,1
14,Ambli,Ahmedabad,Gujarat,India,380058,1
15,Amraiwadi,Ahmedabad,Gujarat,India,380026,1
16,Anand Nagar,Ahmedabad,Gujarat,India,380007,1
17,Andej,Ahmedabad,Gujarat,India,382210,1
18,Aniali Bhimji,Ahmedabad,Gujarat,India,382460,1
19,Aniali K,Ahmedabad,Gujarat,India,382245,1
20,Ankhol,Ahmedabad,Gujarat,India,382330,1
21,Arnej,Ahmedabad,Gujarat,India,382230,1
22,Asalgam,Ahmedabad,Gujarat,India,382150,1
23,Asarwa,Ahmedabad,Gujarat,India,380016,1
24,Asarwa Chakla,Ahmedabad,Gujarat,India,380016,1
25,Asarwa Ext South,Ahmedabad,Gujarat,India,380024,1
26,Ashoknagar,Ahmedabad,Gujarat,India,382140,1
27,Ashram Road,Ahmedabad,Gujarat,India,380009,1
28,Aslali,Ahmedabad,Gujarat,India,382427,1
29,Ayojan Nagar,Ahmedabad,Gujarat,India,380015,1
30,Azad Society,Ahmedabad,Gujarat,India,380015,1
31,Badarkha,Ahmedabad,Gujarat,India,382455,1
32,Bagad,Ahmedabad,Gujarat,India,382255,1
33,Bagodara,Ahmedabad,Gujarat,India,382230,1
34,Bajarda,Ahmedabad,Gujarat,India,382460,1
35,Bakrana,Ahmedabad,Gujarat,India,382170,1
36,Bakrol,Ahmedabad,Gujarat,India,382430,1
37,Baldana,Ahmedabad,Gujarat,India,382240,1
38,Balsasan,Ahmedabad,Gujarat,India,382145,1
39,Bamroli,Ahmedabad,Gujarat,India,382145,1
40,Bamsara,Ahmedabad,Gujarat,India,382240,1
41,Bapunagar,Ahmedabad,Gujarat,India,380024,1
42,Bareja,Ahmedabad,Gujarat,India,382425,1
43,Barwala Ghelasha,Ahmedabad,Gujarat,India,382450,1
44,Bavaliary,Ahmedabad,Gujarat,India,382455,1
45,Bavla,Ahmedabad,Gujarat,India,382220,1
46,Bavla Market Yard,Ahmedabad,Gujarat,India,382220,1
47,Behrampura,Ahmedabad,Gujarat,India,380022,1
48,Bhadaj,Ahmedabad,Gujarat,India,380060,1
49,Bhadana,Ahmedabad,Gujarat,India,382140,1
50,Bhadiad,Ahmedabad,Gujarat,India,382435,1
51,Bhairavnath Road,Ahmedabad,Gujarat,India,380028,1
52,Bhangadh,Ahmedabad,Gujarat,India,382455,1
53,Bhankoda,Ahmedabad,Gujarat,India,382140,1
54,Bhat,Ahmedabad,Gujarat,India,382428,1
55,Bhavda,Ahmedabad,Gujarat,India,382433,1
56,Bhayla,Ahmedabad,Gujarat,India,382220,1
57,Bhodad,Ahmedabad,Gujarat,India,382445,1
58,Bhojwa,Ahmedabad,Gujarat,India,382150,1
59,Bholad,Ahmedabad,Gujarat,India,382230,1
60,Bhoyani,Ahmedabad,Gujarat,India,382145,1
61,Bhurkhi,Ahmedabad,Gujarat,India,382230,1
62,Bhuvaldi,Ahmedabad,Gujarat,India,382430,1
63,Bilasia,Ahmedabad,Gujarat,India,382330,1
64,Bodakdev,Ahmedabad,Gujarat,India,380054,1
65,Bodia,Ahmedabad,Gujarat,India,382245,1
66,Bol,Ahmedabad,Gujarat,India,382170,1
67,Bopal,Ahmedabad,Gujarat,India,380058,1
68,Bordibazar Viramgam,Ahmedabad,Gujarat,India,382150,1
69,Buranpur,Ahmedabad,Gujarat,India,382465,1
70,Calico Mills,Ahmedabad,Gujarat,India,380022,1
71,Cantonment,Ahmedabad,Gujarat,India,380004,1
72,Chaloda,Ahmedabad,Gujarat,India,382260,1
73,Chandarva,Ahmedabad,Gujarat,India,382255,1
74,Chandial,Ahmedabad,Gujarat,India,382433,1
75,Chandisar,Ahmedabad,Gujarat,India,382130,1
76,Chandkheda,Ahmedabad,Gujarat,India,382424,1
77,Chandlodia,Ahmedabad,Gujarat,India,382481,1
78,Chandranagar,Ahmedabad,Gujarat,India,382150,1
79,Changodar,Ahmedabad,Gujarat,India,382213,1
80,Charanki,Ahmedabad,Gujarat,India,382450,1
81,Charel,Ahmedabad,Gujarat,India,382110,1
82,Chaulaj,Ahmedabad,Gujarat,India,382433,1
83,Chekhla,Ahmedabad,Gujarat,India,382210,1
84,Chhabasar,Ahmedabad,Gujarat,India,382220,1
85,Chhaniar,Ahmedabad,Gujarat,India,382140,1
86,Chharodi,Ahmedabad,Gujarat,India,382170,1
87,Chhasiana,Ahmedabad,Gujarat,India,382460,1
88,Chiada,Ahmedabad,Gujarat,India,382220,1
89,Chokdi,Ahmedabad,Gujarat,India,382250,1
90,Chuval Dangarva,Ahmedabad,Gujarat,India,382145,1
91,Civil Hospital,Ahmedabad,Gujarat,India,380016,1
92,CTM,Ahmedabad,Gujarat,India,380026,1
93,Ctm Char Rasta,Ahmedabad,Gujarat,India,380026,1
94,D Cabin,Ahmedabad,Gujarat,India,380019,1
95,Dabhoda,Ahmedabad,Gujarat,India,382355,1
96,Dabhsar,Ahmedabad,Gujarat,India,382120,1
97,Dadhana,Ahmedabad,Gujarat,India,382120,1
98,Daduka,Ahmedabad,Gujarat,India,382110,1
99,Dadusar,Ahmedabad,Gujarat,India,382225,1
100,Dahegam,Ahmedabad,Gujarat,India,382305,1
101,Dalod,Ahmedabad,Gujarat,India,382130,1
102,Daran,Ahmedabad,Gujarat,India,382220,1
103,Dariapur,Ahmedabad,Gujarat,India,380001,1
104,Darpan Society,Ahmedabad,Gujarat,India,380009,1
105,Daskroi,Ahmedabad,Gujarat,India,382430,1
