domain_code,domain_name,parent_code,domain_image
SCI_TECH,Science & Technology,,
MEDICAL_HEALTH,Medical & Healthcare,,
SPORTS_FITNESS,Sports & Fitness,,
BUSINESS_MGMT,Business & Management,,
FINANCE_ACCT,Finance & Accounting,,
MARKETING_SALES,Marketing & Sales,,
ARTS_DESIGN,Arts & Design,,
MEDIA_COMM,Media & Communication,,
LAW_PUBLIC,Law & Public Services,,
EDU_TEACHING,Education & Teaching,,
TRAVEL_HOSP,Travel & Hospitality,,
AGRI_ENV,Agriculture & Environment,,
CONST_ARCH,Construction & Architecture,,
TRANSPORT_LOG,Transportation & Logistics,,
MANUF_PROD,Manufacturing & Production,,
GOVT_JOBS,Government Jobs,,
SOCIAL_WORK,Social Work & Community Services,,
