stream_code,domain_code,weight_score,is_primary,is_active
science,ai_data,95,1,1
science,biotech,88,0,1
science,med_devices,86,0,1
science,renewable_energy,82,0,1
science,robotics,80,0,1
commerce,fintech,95,1,1
commerce,ecommerce,90,0,1
commerce,digital_marketing,85,0,1
commerce,hrtech,78,0,1
commerce,insurance_tech,75,0,1
arts,creator_economy,92,1,1
arts,digital_marketing,88,0,1
arts,edtech,80,0,1
arts,legaltech,76,0,1
arts,traveltech,74,0,1
vocational,manufacturing,90,1,1
vocational,iot,84,0,1
vocational,construction_tech,80,0,1
vocational,renewable_energy,78,0,1
diploma_technical,robotics,92,1,1
diploma_technical,manufacturing,88,0,1
diploma_technical,ev_mobility,82,0,1
diploma_technical,renewable_energy,80,0,1
diploma_non_technical,traveltech,86,1,1
diploma_non_technical,foodtech,82,0,1
diploma_non_technical,fashiontech,78,0,1
diploma_non_technical,hrtech,72,0,1
agriculture,agritech,95,1,1
agriculture,climate_tech,88,0,1
agriculture,water_tech,82,0,1
agriculture,renewable_energy,76,0,1
sports,sports_tech,90,1,1
sports,mental_health,86,0,1
sports,creator_economy,72,0,1
fine_arts,creator_economy,92,1,1
fine_arts,ar_vr,84,0,1
fine_arts,gaming,82,0,1
fine_arts,fashiontech,74,0,1
design,ar_vr,92,1,1
design,gaming,86,0,1
design,creator_economy,84,0,1
design,ecommerce,78,0,1
design,fashiontech,76,0,1
media,creator_economy,95,1,1
media,digital_marketing,90,0,1
media,edtech,78,0,1
media,traveltech,76,0,1
computer_science,cloud_computing,95,1,1
computer_science,devops,90,0,1
computer_science,cybersecurity,88,0,1
computer_science,ai_data,86,0,1
computer_science,blockchain,75,0,1
business_management,ecommerce,92,1,1
business_management,fintech,88,0,1
business_management,hrtech,86,0,1
business_management,supply_chain,82,0,1
business_management,insurance_tech,78,0,1
health_science,healthtech,95,1,1
health_science,med_devices,90,0,1
health_science,mental_health,88,0,1
health_science,pharma,84,0,1
health_science,biotech,82,0,1
law,legaltech,92,1,1
law,cybersecurity,82,0,1
law,blockchain,78,0,1
law,ai_ethics,76,0,1
hospitality,traveltech,92,1,1
hospitality,foodtech,88,0,1
hospitality,ecommerce,78,0,1
hospitality,digital_marketing,76,0,1
education,edtech,95,1,1
education,ai_ethics,82,0,1
education,creator_economy,72,0,1
defense,defense_tech,95,1,1
defense,cybersecurity,90,0,1
defense,robotics,84,0,1
defense,space_tech,80,0,1
aviation,space_tech,92,1,1
aviation,iot,84,0,1
aviation,ev_mobility,82,0,1
aviation,cloud_computing,78,0,1
entrepreneurship,ecommerce,95,1,1
entrepreneurship,fintech,88,0,1
entrepreneurship,creator_economy,84,0,1
entrepreneurship,climate_tech,72,0,1
science,nanotech,76,0,1
science,quantum,74,0,1
science,energy_storage,78,0,1
computer_science,data_engineering,92,0,1
computer_science,quantum,78,0,1
business_management,marketing,90,0,1
media,marketing,88,0,1
arts,marketing,82,0,1
entrepreneurship,marketing,80,0,1
vocational,urban_tech,76,0,1
diploma_technical,energy_storage,78,0,1
diploma_technical,urban_tech,74,0,1
science,cloud_computing,82,0,1
science,cybersecurity,85,0,1
science,devops,80,0,1
science,ev_mobility,88,1,1
science,renewable_energy,90,1,1
science,robotics,88,1,1
science,iot,82,0,1
science,nanotech,85,1,1
science,quantum,88,1,1
science,space_tech,90,1,1
science,chemical_engineering,88,1,1
science,civil_engineering,85,1,1
science,electrical_engineering,88,1,1
science,mechanical_engineering,88,1,1
science,manufacturing,82,0,1
science,construction_tech,78,0,1
science,mbbs_medicine,95,1,1
science,nursing,85,1,1
science,pharmacy,88,1,1
science,physiotherapy,82,1,1
science,dentistry,88,1,1
science,ayurveda_homeopathy,72,0,1
